uniqueId,clean_text,rep_score
l.galang146,makasar butuh 1 hari masuk dpr bandung butuh 2 hari masuk dpr cirebon cuma 2 jam masuk dpr,0.115
ucuprevan,datangin puan,0.182
emiaasli,bantu up teman',0.356
liezjameelahamzah,jangan dibakar jangan dirusak kak. diperbaikinya nanti pakai uang rakyat juga.,0.157
makichen06,"dpr nya enggak kerja,kasus vina saja enggak bisa di bantu",0.149
meicia2020,"gue capek bilang ini, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokatif, kasihan yag tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat pe jelasan di akun kal salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",0.415
ayyyuraaa_,tolong sebarin bro,0.290
cliper_pemula36,sebernya bukan itu tujuan nya. aspirasinya yang harus di dengar dan di sahkan tapi anggota dpr nya pada kabur,0.162
dika.dch,guys semua live di t hilang,0.199
yanrvnhrs,fitur live dimatiin guys,0.296
enhabsv,"guys tolong stop bakar bakar fasilitas umum , jangan ada penjarahan, sama saja kalian menyengsarakan sesama rakyat, tujuan demo kan ke gedung dpr dan meminta keadilan untuk almarhum ojol, kenapa jadi kemana mana begini ya? sedih banget kasihan juga sama yang kerja dan anak rantau disana yang mengandalkan transportasi umum untuk menghemat kebutuhannya, astagfirullah!!! fokus gaes jangan terprovokasi!",0.413
mama.vian366,cirebon menyala,0.401
darkassasin2,tiktok live pun dibungkam sama pemerintah,0.182
user898982487,jangan dirusak bro itu aset masyarakat cirebon.eman2 pisan,0.134
aliqaziva,"enggak masalah masuk gedung dprd, tapi fasilitasnya jangan dirusak.",0.102
narashshopofc,negara seheboh ini gue cuma rebahan,0.353
susah.bat.sih.ngasihnama,"kalian sadar enggak, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokasi kasihan yang tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat penjelasan di akun kak salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",0.416
johanessdicky,"senang juga kayak begini, tapi disatusisi gelisah juga, karena dengan adanya kantor2 pada di lumpuhkan, yang ada anggota2 dpr enggak kerja! tapi malah pergi keluar negeri",0.082
its.water.d.law,"tiktok live hilang, ada yang sama??",0.328
ssseay._,"tolong stop bakar bakar fasilitas umum , jangan ada penjarahan, sama saja kalian menyengsarakan sesama rakyat, tujuan demo kan ke gedung dpr dan meminta keadilan untuk almarhum ojol, kenapa jadi kemana mana begini ya? sedih banget kasihan juga sama yang kerja dan anak rantau disana yang mengandalkan transportasi umum untuk menghemat kebutuhannya, astagfirullah!!! fokus gaes jangan terprovokasi!",0.413
ridwan9919_,angkat topi buat warga cirebon dan makassar,0.151
abang.aka54,tiktok sudah enggak bisa buat live ya bang,0.243
dan.echaa,"guys plis pulang sekarang!! dapat info dari sodara dekat (polisi) bakal ada penembakan massal (sudah ditugaskan juga malam ini). makanya live tiktok dimatikan. saya enggak tau bakal viral atau tidak ketikan saya ini, tolong up ya. kabarin sodara kalian untuk hati-hati, apalagi listrik bakal dimatiin juga untuk sekitar jaktim,jaksel,jakut. 30/07/25",0.408
globalis5,sah kan undang undang perampasan aset...,0.248
user6549510091055,hahaha.....malah enak dprd nya.. libur panjang.. gaji dan tunjangan tetap...,0.107
three.adt,gais fitur live tiktok hilang,0.216
dexk16,dpr di kuasai gen saja,0.174
mzzainun99,kondisi rumah ahmad sahroni,0.190
yatchu72,kalo sudah masuk mengapai,0.228
husen7314,tinggal jakarta yang susah takluk,0.120
wiwid574,"damai lah ,jadi makin susa cari nafka",0.110
marcelinusdennysapa,dprd cirebon membebani rakyat cirebon.,0.258
zakialras,"""pihak lawan mengakui kekalahan """,0.195
billl619,cirebon keras,0.285
chanzzz_fcm,menyala cirebon ku,0.281
kpoooihh,plis gue tkut,0.189
ayamkecap30,kalo sudah masuk terus mengapai kira kira ?,0.227
nurjanahsucipto,tujuan demo awal apa,0.163
seyaaa7198,jangan bakar bakar gedung jangan rusak fasilitas,0.227
bangunjaya560,enggak ada yang bisa live tiktok!!,0.218
i.tgr_12,sing melas mah motor satpam jadi sasaran pembakaran demostran,0.074
rizzwantsevend,rakyat berhak karena milik rakyat,0.163
anaisti223,"saya yakin mereka bukan dari kalangan mahasiswa bukan dari organisasi ekstra kampus. anak"" organisasi tau betul cara bagaimana demo dan aksi masa dan tidak akan seberani ini merusak.",0.083
rere69776,bang hari minggu masih ada demo kah,0.155
hafifah2022,demo dilindungi undang tapi segala bentuk anarkis tidak dibenarkan dalam agama sekalipun,0.186
henynysutris,nanti bagaimana itu mas di bangun nya lagi pasti pakai duit rakyat lagi oalah…bagus ke orang nya mas jangan fasilitas nya di rusak,0.163
salonpas55555,live demo menghilang dari tiktok ges,0.205
lilofyuyay,"gue tadi malam nemu sw kawan gue, nemu barang barang elit anjr, enak banget pulang demo bawa oleh oleh",0.119
tiaaaaaa370,"masyarakat =hama ya allah, lindungilah dpr kami , mereka ini pahlawan bangsa, pejuang keadilan yang siang malam menangis demi rakyatnya . mereka rela mengorbankan tidur, makan, bahkan nyawanya hanya untuk kita semua . jika bukan karena mereka, kita tidak akan bisa bernafas hari ini . tolong, jaga mereka seperti engkau menjaga langit dan bumi",0.409
bbysyaaa3,ketakutan gen saja saat ini : 1.tuhan 2.orang tua 3.wifi lemot 4.uang habis,0.132
fahrulrohman13,mantap,0.405
pecinta_grow_a_garden_,ganti an rakyat yang joget joget kan??,0.283
citramikalabatik,demo sih demo tapi jangan sampai merusak property begitu....astaghfirullahaladziiim....,0.271
emonopak201,"tik tok sudah tidak bisa live saudara saudara, sebentar lagi internet akan di berhentikan sementara...",0.178
subli.76,semangat pahlawan rakyat,0.218
irenenvnka_,ini dpr memang betulan enggak mau turun kah?sampai kabur anjir,0.153
aneuktokelubeng,semangat berjuang masyarakat ku se indonesia,0.193
kubiga141,demo boleh asal jangan anarkis,0.404
sitiirarimbi,"enggak beres"" ita demo",0.219
xynzco,terus mana anggota dprd nya?,0.117
furqon_ahmad22,tegal langsung gercep,0.212
nindyyma_,good,0.402
arif_taffary1,mantap cirebon,0.269
user852648949,demo boleh merusak fasilitas umum jangan..,0.287
syaimupp1,"guys plis pulang sekarang!! dapat info dari sodara dekat (polisi) bakal ada penembakan massal (sudah ditugaskan juga malam ini). makanya live tiktok dimatikan. saya enggak tau bakal viral atau tidak ketikan saya ini, tolong up ya. kabarin sodara kalian untuk hati-hati, apalagi listrik bakal dimatiin juga untuk sekitar jaktim,jaksel,jakut.31/08/25",0.408
nasrudin4041,the best rakyat indonesia. sang pahlawan yang telah berani mardekakn bangsa indonesia.nepal keras bos ku.maju lah garuda pemberani mardeka selama mrdeka,0.114
audymanjalita,cair lur,0.271
emmaalmuallas,sana al,0.400
ww.com.mariafe,mis respetos,0.000
eita29061,"demo boleh anarkis jangan, soalnya kalo ada kerusakan pasti pakai uang pajak(rakyat juga)",0.124
rini.apriyani87,sehat selalu para pendemo semoga dilindungi allah,0.291
mfdarch,yaampun kenapa dirusak..,0.151
hendri.mulet,tapi di daerah jakarta masih demo,0.141
faris_rama10,kasih tau sekarang enggak ada live tiktok,0.184
naisa318,lanjutkan kwan kita harus tegas jangan kita rakyat miskin tertidas terus semoga lekas pulih indonesa aku,0.124
nanas_0ji,"di bungkam, sekarang gbsa live.",0.207
rambobinjai17,sudah diinjak injak harga diri dpr di indonesia.,0.135
kurr_editz,cirebon sudah victory giliran indramayu kayaknya,0.122
minot_official,mantap : geng dunia luar react,0.176
recomen_foryou,tiktok ig enggak bisa live,0.240
fatihulhuda098,"tiktok sudah mulai lemmot bro,,,& fitur live tiktok di blokir,,jadi enggak bisa menonton live.",0.206
andiniiiiya,"pada merasa enggak sih setiap vidio fyp tentang demo vidionya selalu ngelag tapi pas fyp yang bukan tentang demo lancar lancar saja jaringan nya,apa aku doang ya??",0.139
nuriajulianti,du kepri kok enggak ada demo,0.207
gedangklutuk9622,hati hati gaes!!!,0.353
semerah.padi91,buat pengajaran pemimpin malaysia juga...,0.149
pawww87,"pulang sekarang!! dapat info dari sodara dekat (polisi) bakal ada penembakan massal (sudah ditugaskan juga malam ini). makanya live tiktok dimatikan. saya enggak tau bakal viral atau tidak ketikan saya ini, tolong up ya. kabarin sodara kalian untuk hati-hati, apalagi listrik bakal dimatiin juga untuk sekitar jaktim,jaksel,jakut. 30/07/25",0.405
_papazola33,cirebon melawan,0.251
xxxxyrr.bngaa,cirebon kota gengster,0.247
nrlll_09,wong cirebon langka tandingan e,0.177
nurhalimahnurhali67,terus kalo sudah begitu tuh kalian mengapai,0.146
adilla6289,1 sarang tikus bisa di amankan..,0.265
sanzz0106,"enggak sia² tinggal di cirebon, anak nya kompak²",0.127
halinalife8,you are amazing people. one day my country to,0.125
dwidikasaputraa,buku pkn 2030 besok,0.271
sandi79053,welcome tapi cirebon,0.268
asarymand,nước có thể đưa thuyền đi và cũng có thể làm cho thuyền luật,0.103
poliscont0l,mantap rakyt,0.226
januari188,duduki semua kantor daripada dan pusat rakyat ambil alih mantab,0.146
444.wrld__,live tiktok sudah enggak bisa anjir,0.242
aniemirates,semangat buat rakyat,0.366
ayankkamu_,recal2 dulu bang di base lawan,0.169
chichi.merry3,ini lah cara merdeka nya rakyat hidup rakyat tanpa pajak ..yang menjerat... semangat,0.188
vans7609,ulah sahroni cs nih.. jadi begini,0.137
najwaazcy,jangan merusak deh tujuan adek baik untuk memperjuangkan rayat,0.115
danny.af4,"sedulur, entar kalo ada pemilihan dpr jangan di coblos lagi, oke. setuju",0.338
kz_desfa,dpr cirebon:medeni cah,0.157
agustonaga22,mantap.,0.405
kaoruu065,kerja bagus,0.401
user851864860,"fasilitas jangan di rusak boleh,yang bersalah kan orangnya",0.130
raamssz,tiktok live hilang semua,0.325
sakha.sport,"nah gantian giliran dia deh yang rapat..,",0.133
its_kayy10,rakyat yang memilih rakyat yang marah,0.188
.izzat.fazlin,huhuhuhu...bahaya...depa nih,0.237
farhandwi687,sekarang di kota cirebon lagi demo. sampai malam.,0.140
hrda_4,anjay rakyat menag,0.379
.garuda.di.dada.ku,percuma rumahnya koruptor di obrak abrik sementara oknumnya aman2 saja....gaji tetap jalan...,0.113
blueee963,tiktok kagak bisa live,0.210
rinskmaca,komen ah biar jadi sebagian sejarah,0.302
jawamalaysia4,sudah sudah lah itu..jadi lah rakyat yang bijak..sopan santun..punya adab..,0.124
poetrakedor,anggota dpr berbondong bondong keluar negeri ini mah,0.174
reall_ekadewi,"baru merayakan kemerdekaan tnggal 17 agustus , dan masih di bulan agustus juga banyak pertumpahan darah , cepat pulih indonesia ku",0.166
powersolusi,keren kita bangga sama ira,0.186
gjize2,bro berhasil masuk ke base lawan,0.169
user087686639,jangn di rusk gedung dpr .itu punya kalin entar kalian lagi yang suruh perbaiki .,0.130
anakterakhir39,bantu jakarta,0.261
bicacae,buat temanku semuanya yang mau upload video demo please yang demo nya di blur muka nya biar kalo ada laporan dia enggak kena ciduk,0.095
arsi1595,ya.allah..kenapa ikut2tan demo semua di mana2..,0.155
btrraww,"demo boleh, asal jangan anarkis gais, demo itu untuk menyuarakan suara jangan sampai jadi merusak fasilitas umum",0.228
tak.cium.mau,":dulu waktu demo saya nemu dompet di tempat orang demo,lalu kubuka dompetnya alhamdulillah isi nya 2 juta, dan di dalam dompet juga ada ktp pemilik nya, saya bingung dan ragu mau di antarkan sayang isi nya 2 juta,kalo enggak di balikin kasihan yang punya dompet, takut ktp nya mau di pakai, tau sendiri mengurus ktp di negeri konoha ribet kalo enggak ada orang dalem, pokoknya uud, akhirnya saya antarkan dompet dan isi nya ke alamat rumah, pas saya sampai rumah pemilik nya jutek banget, pas saya bilang menemukan dompetnya sopan banget dia, langsung saya di suruh masuk ke rumah nya, di buat kan kopi dan di sandingkan kue, pas sudah 30 menit mengobrol saya pun pamit,dan saya bilang,ibu coba uangnya di hitung kembali, lalu ibu itu menghitung nya, dan alhamdulillah uangnya pas 2 juta, terus saya pun pamit dan tangan saya di tarik sama ibu itu, saya kira ada apa, enggak tau nya uangnya 2 juta mau di kasih saya semua,memang kalo sudah rezeki enggak kemana,katanya yang penting ktp balik sudah bersyukur banget,saya pun senang banget, pas saya pergi sudah keluar pagar ada yang panggil panggil saya,. pah..pah..bangun pah... sudah pagi takut berangkat kerja nya kesiangan anak sekolah sudah pada masuk takut macet, saya pun terbangun dan bengong, uwala...ternyata mimpi",0.413
famlyernest,besok2 mereka aktif lagi...yakin lu bisa kuasai...malah nanti di bagun pakai uang pajak elu2 pade,0.128
luvvvvk14,itu tongkat pramuka gua kok bisa sampai di situ...,0.199
meletopp2,"tolong like vt gue 1 saja,..",0.264
menunggu010,alhamdulillah akhirnya menang di tangan rakyat,0.207
heppy_ahmad_khoirul,jujur ya kalau dpr bubar ekonomi akan anjlok dan otomatis para pekerja akan di phk enggak perlu di bubarin tapi ganty orang2nya,0.119
kang.mayor,luar biasa masa tidak terlalu banyak tapi bisa masuk.itulah kekuatan cirebon..sedangkan jare wong tua kalau cirebon gejolak tandanya kurang baik,0.158
pakne_juan,jawa timur enggak bisa live sejak pukul 22.00,0.152
firasukaaakamuu,dunia lagi se rame kie nyng malah nng umh turuan tok,0.145
kepoooooanajdis,bro meminta turunin pajak 1000%,0.149
anijawai34,mantap maju terus,0.257
sunblast211,"sudah 3 jam enggak bisa lihat live tik tok, kalian bagaimana ??",0.227
16_januari2013,kok enggak ada yang live ya?,0.320
ania.ramadani,semangat terus,0.310
bp.roko,yang.kamu.mau..silakan..apa.kamu.terbaeh..,0.223
fanztamz,"waspada‼jangan ada demo ditanggal 1 september/31 september, karena akan ada penembakan dimalam hari dan lampu di daerah dki jakarta dimatikan, stay safe ‼stop dulu sebelum memakan korban, dikarnakan juga banyak sniper yang ada di atas gedung‼saya bukan buzzer/oknum yang dibayar untuk menghentikan demo, tapi untuk mencegah adanya korban jiwa lagi",0.408
escoklatmineral,live demo sudah di hapus tiktok untuk saudara ku yang demo tetap on kamera video buat bukti,0.129
muhamadfahri2195,wahai para rakyat cirebon bantulah pendemo yang di makasar jakarta dan sekitarnya,0.143
samgongkiukiukoah,setelah sampai dan masuk gedung dpr terus para pendemo mengapai,0.116
ibuuuuunesaaaaaa,hebat kalian semangat gaes,0.164
usmanputramandiri.120,wiih mantap,0.405
yohanaaa21,"yang beresin juga ob ob juga rakyat kecil,bagaimana sih",0.126
zalim.pendosa_neraka,cirebon is the best,0.290
user9147004705354abiaji,kalau enggak begitu mukin enggak didengar2 po ya duh2 plh pejabat melarikndiri,0.133
shyam.sundar.sah52,good,0.402
cypa_tulippp,presiden nya harus tambah 1 ini 1. prabowo 2. gibran 3. kang dedi,0.180
sukronmumun2,sedina wis tembus.. jkrta msih drung tembus,0.313
suhe46_,anggota dpr nya kemana,0.187
jealous2688,bukan nya para dpr itu dilarang keluar negeri ya?,0.162
gimiennns,yang enggak menyimak jangan masuk sini,0.206
hbbu92,kabupaten bandung kayak jumatan..enggak rame enggak ada gelutan,0.172
hangpa68,good good i'sama from nepal good job bro we are start september 8,0.261
edisibasi,"ini belum menang, mereka tetap akan dengan mudah renovasi.",0.107
zinaannnnnn,mantap,0.405
dedymlana,kekuasan tertinggi ditangan rakyat,0.131
uknownpubgm,depeer kmna deperer,0.163
zuuu4441,enggak bisa menonton live anjir,0.303
hayfebbbb,"live kita sudah mulai dibungkam gaes, usahin kita tetap update ya",0.120
ervan.pr,izin ambil vidio mas,0.180
mutiarasari936,"banyak yang jarah barang-barang juga.. tadi lewat ada yang bawa meja, kursi",0.159
3anakku160310,apa bedanya merugikan negara,0.208
alwayshan08,alhamdulillah terima kasih ya rakyat,0.170
srinn22,bingung saya kalo sudah rusak gedungnya gampang ada uang pajak rakyat buat bangun lagi,0.176
lemariku_0,setelah ini. kan perbaikan gedung ya. uang negara lagi kan yang dipakai,0.097
gatau.apa.apa8,tragedi 1995 sudah terjadi,0.148
user_3291078,"you get dejavu,honey you look familiar like my mirror years ago,case 3 mei 1999,as a malaysia we love your culture smeu damai you know what you guys deserve a hug, indonesia and malaysia has their own keunikan dan kelebihan seperti di indonesia keunikan nya adalah sejarah warisan kolonial: indonesia mempunyai sejarah yang kayak dengan warisan kolonial dari belanda, yang turut membentuk budaya dan seninya. dan di malaysia adalah bahasa melayu: bahasa melayu adalah bahasa kebangsaan dan bahasa utama di malaysia, tetapi terdapat pengaruh dan penggunaan pelbagai bahasa lain seperti mandarin, tamil, dan inggeris. and dear indonesian cousins i know you guys feeling and we know your struggles please hang ini there , keep on fighting for a clean government, we di feel your pain as we are also , mau the death of one of your people mau never go tapi waste, lots of love mari kit",0.135
