clean_text,classification
bandung mau di gimanain juga teteep estetik anjit,NON_BUZZER
"plis pulang sekarang!! dapat info dari sodara dekat (polisi) bakal ada penembakan massal (sudah ditugaskan juga malam ini). makanya live tiktok dimatikan. saya enggak tau bakal viral atau tidak ketikan saya ini, tolong up ya. kabarin sodara kalian untuk hati-hati, apalagi listrik bakal dimatiin juga untuk sekitar jaktim,jaksel,jakut. 30/07/25",NON_BUZZER
"sadar enggak, demo kita sekarang sudah melenceng, enggak lagi kondusif, banyak yang terprovokasi kasihan yang tulus turun demo tapi malah disalahin akibat pengrusakan fasilitas dl. kalian tau, sampai ada korban jiwa yang bahkan enggak salah di maksar itu ada 3 orang meninggal karena gedungnya dibakar. tolong lihat penjelasan di akun kak salsa erwina, kakaknya nyuruh kita stop dulu, pulang dulu, hentikan dulu demo. kita fokus ke tuntutan 7 hari kedepan. tolong bantu up gais, dari tadi gue komen begini malah disembunyiin dan enggak ada notif like 1 pun padahal sudah banyak akun gue sambangin. gue bukan buzzer, gue pun rakyat yang butuh pertanggungjawaban dpr.",NON_BUZZER
"guys kita fokus sama dpr saja kalo kalian ngerusak fasilitas umum sama saja kita buang² uang kita pasti itu juga beli pakai beberapa uang kita walaupun enggak pasti, tapi pls jangan rusak fasilitas ya guys",NON_BUZZER
ini kapan ya damainya,NON_BUZZER
ada apa dengan negara yang kucintai ini?,NON_BUZZER
pak soekarno lihat negaramu pak..,NON_BUZZER
agustus kali ini kacau banget ya....,NON_BUZZER
"gays plis jangan begini kita marah tapi jangan sampai kita kehilangan hati nurani kita, plis jangan sampai terprovokasi oknum” yang punya kepentingan lain atau niat lain jangan ngerusak kota kita sendiri jangan saling menyakiti jangan sampai merugikan jangan biarkan para oknum” itu merusak nama perjuangan kalian",NON_BUZZER
"loh ini kan jalan tol ya , kok dibakar yang rugikan pemakai jalan/ masyarakat sendiri",NON_BUZZER
gue di makasar,NON_BUZZER
indonesia sudah se heboh ini gue cuma rebahan,NON_BUZZER
dunia serame ini gue cuma rebahan,NON_BUZZER
mau mengantarkan kakak ke kosan susah banget,NON_BUZZER
ai,NON_BUZZER
huft...ingat polusi juga ya guys,NON_BUZZER
"""sekarang telah menjadi lautan api,mari bung rebut kembali""",BUZZER
pasti pahlawan sedih melihat negara sudah sehancur ini....,NON_BUZZER
"demo anarkis kalo sampai kanca international sudah pasti bakal dampak ke ekonomi. pejabat mah enak, simpanan nya dollar, yang makin mampus justru rakyat kecil",NON_BUZZER
ternyata sangat lah nyata ya lagu halo halo bandung itu kan ada sekarang menjadi lautan api,NON_BUZZER
"maaf semuanya, jangan rusak fasilitas ya.. nanti untuk bangun lagi butuh uang lagi, akhirnya pajak dinaikin lagi, harga dollar enggak stabil dan gaji gaji banyak dipotong karena perusahaan perlu bayar pajak besar besaran yang kita tahu menahu soal itu terima kasih",NON_BUZZER
salah fokus asepnya pls,NON_BUZZER
pesan gue 1. jangan lari kalian manusia fomo keluar negeri jika inflasi besar²an terjadi. nikmati hasil kalian. dukung manusia penjarah dan pembakaran dimana²... tutup semua bandara .jangan ada yang kabur.,NON_BUZZER
"katanya merdeka namun masih terjajah katanya telah usai namun negeri kita masih terbantai anak kecil masih terus bekerja mereka diinjak oleh yang berkuasa keadilan seperti tak bernyawa ada, namun hilang di telan dunia sehat-sehat negeri ku",NON_BUZZER
dunia seheboh ini gue cuma rebahan,NON_BUZZER
sedih sama indonesia sekarang yallah makin tebal saja sejarah indonesia,NON_BUZZER
bandung memang se estetik itu ya??,NON_BUZZER
atmosfer menipis deh nih...,NON_BUZZER
"plissh kalo demo demo saja jangan merusak pasilitas masyarakat, nanti bisa berdampak krisis ekonomi, saya juga pendemo tapi kalau untuk itu saya tidak ikut""an",NON_BUZZER
harusnya kita tidak seperti ini percuma hancurkan fasilitas kalau dprd sendiri masih joget joget,NON_BUZZER
sini aku back semua tiktok affiliate,NON_BUZZER
r. i. p pancasila ke 5,NON_BUZZER
